zeta4	p0.249	0.932206	0.002502	0.00213
zeta4	p0.25	0.932437	0.002488	0.002119
zeta4	p0.251	0.934996	0.002095	0.001134
zeta4	p0.252	0.935131	0.002084	0.001134
zeta4	p0.253	0.935361	0.002057	0.001134
zeta4	p0.254	0.936334	0.001902	0.000385
zeta4	p0.255	0.936495	0.001887	0.000385
zeta4	p0.256	0.936656	0.001886	0.000385
zeta4	p0.257	0.937113	0.00188	0.000322
zeta4	p0.258	0.937573	0.001872	0.000277
zeta4	p0.259	0.937747	0.001866	0.000277
zeta4	p0.26	0.937916	0.001857	0.000269
zeta4	p0.261	0.938082	0.001856	0.000269
zeta4	p0.262	0.938276	0.00185	0.000269
zeta4	p0.263	0.938436	0.001837	0.000269
zeta4	p0.264	0.940139	0.000268	0.000196
zeta4	p0.265	0.940287	0.000268	0.000196
zeta4	p0.266	0.940445	0.000268	0.000196
zeta4	p0.267	0.940806	0.000196	0.000134
zeta4	p0.268	0.94096	0.000196	0.000134
zeta4	p0.269	0.941074	0.000196	0.000134
zeta4	p0.27	0.941221	0.000193	0.000134
zeta4	p0.271	0.941374	0.000193	0.000134
zeta4	p0.272	0.94156	0.000187	0.000131
zeta4	p0.273	0.941846	0.000131	0.000108
zeta4	p0.274	0.94198	0.000118	0.000108
zeta4	p0.275	0.942121	0.000118	0.000108
zeta4	p0.276	0.94227	0.000118	9.3e-05
zeta4	p0.277	0.942433	0.000118	9.3e-05
zeta4	p0.278	0.942607	0.000118	9.3e-05
zeta4	p0.279	0.942751	0.000118	9e-05
zeta4	p0.28	0.942886	0.000118	9e-05
zeta4	p0.281	0.943005	0.000118	9e-05
zeta4	p0.282	0.943186	0.000118	9e-05
zeta4	p0.283	0.943329	0.000118	9e-05
zeta4	p0.284	0.943534	9e-05	8.8e-05
zeta4	p0.285	0.94368	9e-05	8.8e-05
zeta4	p0.286	0.94381	8.9e-05	8.8e-05
zeta4	p0.287	0.943994	8.9e-05	8.8e-05
zeta4	p0.288	0.944148	8.9e-05	8.8e-05
zeta4	p0.289	0.944327	8.9e-05	8.8e-05
zeta4	p0.29	0.944482	8.9e-05	8.8e-05
zeta4	p0.291	0.944597	8.9e-05	8.7e-05
zeta4	p0.292	0.944793	8.9e-05	8.7e-05
zeta4	p0.293	0.944942	8.9e-05	8.7e-05
zeta4	p0.294	0.945074	8.9e-05	8.7e-05
zeta4	p0.295	0.94523	8.9e-05	8.7e-05
zeta4	p0.296	0.945384	8.9e-05	8.7e-05
zeta4	p0.297	0.94557	8.9e-05	8.7e-05
zeta4	p0.298	0.945708	8.9e-05	8.7e-05
zeta4	p0.299	0.945864	8.9e-05	8.7e-05
zeta4	p0.3	0.945994	8.9e-05	8.7e-05
zeta4	p0.301	0.946161	8.9e-05	8.7e-05
zeta4	p0.302	0.946288	8.9e-05	8.4e-05
zeta4	p0.303	0.94648	8.9e-05	6.9e-05
zeta4	p0.304	0.946605	8.9e-05	6.9e-05
zeta4	p0.305	0.946751	8e-05	6.9e-05
zeta4	p0.306	0.946901	8e-05	6.9e-05
zeta4	p0.307	0.947	8e-05	6.9e-05
zeta4	p0.308	0.947135	8e-05	6.9e-05
zeta4	p0.309	0.947269	8e-05	6.9e-05
zeta4	p0.31	0.947419	8e-05	6.9e-05
zeta4	p0.311	0.947545	8e-05	6.9e-05
zeta4	p0.312	0.94769	8e-05	6.9e-05
zeta4	p0.313	0.94783	8e-05	6.9e-05
zeta4	p0.314	0.947975	8e-05	6.9e-05
zeta4	p0.315	0.948137	8e-05	6.9e-05
zeta4	p0.316	0.948298	6.9e-05	4.5e-05
zeta4	p0.317	0.948408	6.9e-05	4.5e-05
zeta4	p0.318	0.948512	6.9e-05	4.5e-05
zeta4	p0.319	0.948636	6.9e-05	4.5e-05
zeta4	p0.32	0.948773	6.9e-05	4.3e-05
zeta4	p0.321	0.9489	6.9e-05	4.3e-05
zeta4	p0.322	0.949015	6.9e-05	4.3e-05
zeta4	p0.323	0.949108	6.9e-05	4.3e-05
zeta4	p0.324	0.949249	6.9e-05	4.2e-05
zeta4	p0.325	0.949403	6.9e-05	4.2e-05
zeta4	p0.326	0.949532	6.1e-05	4.2e-05
zeta4	p0.327	0.949666	6.1e-05	4.2e-05
zeta4	p0.328	0.949769	6.1e-05	4.1e-05
zeta4	p0.329	0.949867	6.1e-05	4.1e-05
zeta4	p0.33	0.950004	6.1e-05	4.1e-05
zeta4	p0.331	0.950113	6.1e-05	3.4e-05
zeta4	p0.332	0.950255	6.1e-05	3.4e-05
zeta4	p0.333	0.950419	6.1e-05	3.4e-05
zeta4	p0.334	0.95053	6.1e-05	3.4e-05
zeta4	p0.335	0.950663	6.1e-05	3.4e-05
zeta4	p0.336	0.950806	6.1e-05	3.4e-05
zeta4	p0.337	0.950926	6.1e-05	3.4e-05
zeta4	p0.338	0.951022	6.1e-05	3.4e-05
zeta4	p0.339	0.951145	6.1e-05	3.4e-05
zeta4	p0.34	0.951264	6.1e-05	3.4e-05
zeta4	p0.341	0.951383	6.1e-05	3.4e-05
zeta4	p0.342	0.951504	6.1e-05	3.4e-05
zeta4	p0.343	0.95159	6.1e-05	3.4e-05
zeta4	p0.344	0.951704	6.1e-05	3.4e-05
zeta4	p0.345	0.951818	6.1e-05	3.4e-05
zeta4	p0.346	0.951913	6.1e-05	3.4e-05
zeta4	p0.347	0.952031	6.1e-05	3.4e-05
zeta4	p0.348	0.952141	6.1e-05	3.4e-05
zeta4	p0.349	0.952268	6.1e-05	3.4e-05
zeta4	p0.35	0.952405	6.1e-05	3.4e-05
