p0.172	0.118679	0.00112	1e-06
p0.173	0.123844	0.000508	1e-06
p0.174	0.126827	0.000516	1e-06
p0.175	0.129542	0.000527	1e-06
p0.176	0.132274	0.000535	1e-06
p0.177	0.134404	0.000549	1e-06
p0.178	0.137429	0.00044	1e-06
p0.179	0.140296	0.000443	1e-06
p0.18	0.142948	0.000499	1e-06
p0.181	0.145502	0.000506	1e-06
p0.182	0.148101	0.000517	1e-06
p0.183	0.150935	0.000144	1e-06
p0.184	0.153396	0.000144	1e-06
p0.185	0.155929	0.000102	1e-06
p0.186	0.158467	0.000114	1e-06
p0.187	0.160675	0.000116	1e-06
p0.188	0.163457	0.000118	1e-06
p0.189	0.166091	0.000118	2e-06
p0.19	0.16856	0.000118	2e-06
p0.191	0.170877	8e-05	2e-06
p0.192	0.173374	5.1e-05	2e-06
p0.193	0.17591	5.9e-05	2e-06
p0.194	0.178566	6.5e-05	2e-06
p0.195	0.180917	6.5e-05	2e-06
p0.196	0.18355	6.5e-05	2e-06
p0.197	0.186021	6.5e-05	2e-06
p0.198	0.188444	6.5e-05	2e-06
p0.199	0.190935	6.5e-05	2e-06
p0.2	0.193384	6.5e-05	2e-06
p0.201	0.196015	6.5e-05	2e-06
p0.202	0.198425	6.5e-05	2e-06
p0.203	0.200758	6.5e-05	2e-06
p0.204	0.203194	6.5e-05	2e-06
p0.205	0.205878	7e-05	2e-06
p0.206	0.208548	7e-05	2e-06
p0.207	0.211341	7.5e-05	2e-06
p0.208	0.214553	8.6e-05	2e-06
p0.209	0.217955	8.6e-05	2e-06
p0.21	0.22117	9.5e-05	2e-06
p0.211	0.224915	9.5e-05	2e-06
p0.212	0.228082	9.5e-05	3e-06
p0.213	0.231625	9.5e-05	3e-06
p0.214	0.235021	2e-05	3e-06
p0.215	0.239383	1.8e-05	3e-06
p0.216	0.242929	1.8e-05	3e-06
p0.217	0.247125	1.8e-05	3e-06
p0.218	0.252123	1.8e-05	3e-06
p0.219	0.256108	1.8e-05	1.5e-05
p0.22	0.260117	1.8e-05	1.5e-05
p0.221	0.265488	1.8e-05	1.5e-05
p0.222	0.269535	1.5e-05	1.5e-05
p0.223	0.277129	1.5e-05	1.5e-05
p0.224	0.284304	1.5e-05	1.5e-05
p0.225	0.291533	1.5e-05	1.5e-05
p0.226	0.300251	2e-05	1.5e-05
p0.227	0.307161	2e-05	1.5e-05
p0.228	0.318532	2e-05	1.5e-05
p0.229	0.329399	2e-05	1.5e-05
p0.23	0.339199	2e-05	1.5e-05
p0.231	0.351028	2e-05	4.3e-05
p0.232	0.358848	2e-05	4.3e-05
p0.233	0.375149	2e-05	4.3e-05
p0.234	0.389665	2e-05	7.3e-05
p0.235	0.404088	2e-05	7.3e-05
p0.236	0.4224	1e-05	7.3e-05
p0.237	0.437619	1e-05	7.4e-05
p0.238	0.456116	1e-05	7.4e-05
p0.239	0.468287	1e-05	7.4e-05
p0.24	0.481831	1.1e-05	7.4e-05
p0.241	0.502	1.1e-05	7.4e-05
p0.242	0.525527	9e-06	7.4e-05
p0.243	0.548009	9e-06	0.000143
p0.244	0.569565	9e-06	0.000143
p0.245	0.59091	7e-06	0.000946
p0.246	0.616541	7e-06	0.000946
p0.247	0.648033	7e-06	0.001965
